Artist,Country,State/Region/Province,City,Related Labels,Related Bands,Released split with,Year (of the first release),Website,Streaming Site,Discogs,Rate Your Music,Style,Melodiousness,My rating,Tags,Added at,Page ID
America is Waiting,,,,Firefly Recordings (https://www.notion.so/Firefly-Recordings-e102d87b76824553ad1d2b6680cc7761?pvs=21),,,,,,,,"Emo-Core, Post-Hardcore",4,6,,"July 26, 2022 9:39 PM",d3fe4bec6fb34204a5ba30216d764a53
Alligator Gun,US,Wisconsin,Milwaukee,,,,1991,,,https://www.discogs.com/artist/2731318-Alligator-Gun,,"Indie Rock, Melodic Hardcore",7,7,,"July 26, 2022 9:31 PM",0a24cdea2d0b4d78842a8dac6f737fdf
Aesthetics Across the Color Line,Russia,Leningrad Oblast (Ленинградская область),Saint Petersburg (Санкт-Петербург)?,,,,2017,,https://aatcl.bandcamp.com/,https://www.discogs.com/artist/6479237-Aesthetics-Across-The-Color-Line,,"Midwest Emo, Twinkle",6,6,Kinsella-like,"July 26, 2022 2:52 PM",a61246722b08412fab8452ca68d9b1b8
Actionslacks,,,,The Self-Starter Foundation (https://www.notion.so/The-Self-Starter-Foundation-71672690f72d46a1a3fcb947f43338db?pvs=21),,,,,,,,"Indie Rock, Midwest Emo",7,6,With Keyboards,"July 26, 2022 2:50 PM",d5814c157f9045c68a68862124124a9a
8 Bit Revival (aka Oh Condor),US,Ohio,Dayton,,,,2002,,https://8bitrevival.bandcamp.com/,,,"Indie Rock, Midwest Emo",8,7,,"July 26, 2022 2:46 PM",b627ea00fbc347fda0976d63f7ad29db
Kilowatthours (aka Up the Empire),US,Kentucky,Louisville,"Temporary Residence Limited (https://www.notion.so/Temporary-Residence-Limited-08e05f064fe84698962550f79a740fe4?pvs=21), Insound (https://www.notion.so/Insound-fd8179b1cfa14b35aec60a7b31163890?pvs=21)",Elliott (https://www.notion.so/Elliott-1157e63a35564f5d9c816a1f2b1e9f13?pvs=21),The Rum Diary (https://www.notion.so/The-Rum-Diary-72fb4d787e534e83af895ce32060ac33?pvs=21),1999,https://web.archive.org/web/20050130145746/http://kilowatthours.com/,https://kilowatthours.bandcamp.com/,https://www.discogs.com/artist/190406-Kilowatthours,https://rateyourmusic.com/artist/kilowatthours,"Indie Rock, Math, Midwest Emo",8,8,,"July 25, 2022 11:30 PM",356505e1fce24d3d85da073e78eb12fc
The Daydream Fit,The Netherlands (Holland),Overijssel,Enschede,,,,2013,,https://thedaydreamfit.bandcamp.com/,,,"Emo-Core, Post Punk, Post-Hardcore",4,6,,"July 25, 2022 11:26 PM",333b77120e224781bd12ee08f9641fd6
Lin.,Germany,,,Two Friends Recordings (aka TFR Music) (https://www.notion.so/Two-Friends-Recordings-aka-TFR-Music-63a5b1762acd46e2a17217e1ba8e6393?pvs=21),,,1999,,https://mockmockmock.bandcamp.com/album/853,https://www.discogs.com/artist/1687887-Lin,,"Midwest Emo, Pop Punk, Post-Hardcore",6,7,With Screamed voice,"July 25, 2022 11:15 PM",732037d75ad74722aae82d5877773f26
Pictures Paint Words,UK/England,Warwickshire,Nuneaton,Big Scary Monsters (https://www.notion.so/Big-Scary-Monsters-5d24fad6a78b400f8500de03e249084d?pvs=21),,,2003,,,https://www.discogs.com/artist/1750001-Pictures-Paint-Words,https://rateyourmusic.com/artist/pictures_paint_words,"Indie Rock, Math, Midwest Emo",7,8,,"July 25, 2022 11:05 PM",69a38348820e40569ec21151beb521aa
Truxton,,,,,,,,,,https://www.discogs.com/artist/1391128-Truxton-2,,"Indie Rock, Midwest Emo",7,8,,"July 25, 2022 10:56 PM",a9c7f0bed4e44d4e9d685bbd8c164481
And We Danced,,,,,,,,,,,,"Melodic Hardcore, Midwest Emo, Pop Punk",7,7,,"July 25, 2022 10:55 PM",e5c603c8e15c4db19c62d25dea2306ee
Shipwreck Kelly,US,Wisconsin,Sheboygan,,,,,,https://www.mkepunk.com/releases/shipwreck-kelly-who-is-alvin-kelly/,,,"Emo-Core, Midwest Emo",7,7,,"July 25, 2022 10:53 PM",21f0a085c3a94b74aa9a4829e2d3cd45
Ampline,,,,Sun Sea Sky Productions (https://www.notion.so/Sun-Sea-Sky-Productions-504910c5bc8d43e8a69ef32be56125cc?pvs=21),,,,,https://sunseasky.bandcamp.com/album/ampline,,,"Instrumental, Midwest Emo",7,5,,"July 25, 2022 10:50 PM",0699348476454ce5bf52602fdada81e1
A Plastic Rose,,,,,,,,,,,,"Melodic Hardcore, Midwest Emo, Post-Hardcore",7,7,,"July 25, 2022 10:46 PM",ceaa7f8ba3ff48529236ec847d7f09d8
Evenstar,,,,,,,,,,,,"Midwest Emo, Pop Punk",7,7,With Delay-effect,"July 25, 2022 10:42 PM",27391b283c2240e5850bcdfa4efeb1a7
Against Tomorrow's Sky,,,,,,,,,,,,"Alternative Rock, Midwest Emo, Post-Hardcore",7,7,Twin-vocal,"July 25, 2022 10:35 PM",d42fc72eb0a74fd59b537627b591990c
Elad Love Affair,US,New York,Buffalo,,,,2001,,https://eladloveaffair.bandcamp.com/,https://www.discogs.com/artist/1198098-Elad-Love-Affair,,"Midwest Emo, Post-Hardcore",6,6,Female-fronted,"July 25, 2022 10:33 PM",f763ae7fe8b64a5bb6da592e9a7daaea
45 Spiders,,,,,,,,,,https://www.discogs.com/artist/3130370-45-Spiders,,"Alternative Rock, Indie Rock, Midwest Emo",7,6,,"July 25, 2022 10:30 PM",e1946e01b6074dbfaa550e4f082b4a1f
Reflector,US,Kansas,Kansas City (KS),Status Recordings (https://www.notion.so/Status-Recordings-a646aa6ee3304a439b114a97a5ea85c8?pvs=21),,,1998,,,https://www.discogs.com/artist/1989434-Reflector-7,https://rateyourmusic.com/artist/reflector,"Indie Rock, Midwest Emo, Post-Hardcore",7,6,,"July 25, 2022 10:21 PM",4a144f48e7284be1bdddfc27fad83aa3
